#	0
10jul	0
#serviciopublico	0
#urgente	0
.@akiztapp	0
.@farmaplus	0
_	0
ve	0
.@farmabienve	0
.@fundafarmacia	0
.@fundacionbadan	0
.@aclave	0
...	0
#	0
10jul	0
#serviciopublico	0
#urgente	0
.@serviciopublive	0
.@publserv	0
.@sanandove	0
.@fundlasdanielas	0
.@flapastillita	0
.	0
...	0
#	0
10junio	0
#urgente	0
#serviciopublico	0
para	0
un	0
familiar	0
necesito	NEEDS
metronidazol	MED
.	0
favor	0
comunicarse	0
conmigo	0
o	0
al	0
0414-4128402	CONTACT
#	0
10mar	0
#serviciopublico	0
#	0
10mar	0
#serviciopúblico	0
con	0
urgencia	NEEDS
para	0
el	0
paciente	0
hugo	NAME
nava	NAME
de	0
77	0
años	0
de	0
edad	0
4146412271	CONTACT
-	0
@javierito321	0
#	0
10mar	0
#serviciopublico	0
para	0
paciente	0
con	0
asperger	SICK
se	0
necesita	NEEDS
ridal	MED
1	0
mg	MED
o	0
resperidina	MED
,	0
abrettia	MED
y	0
sistonecontácta	MED
...	0
#	0
10mar	0
#serviciopublico	0
.	0
para	0
paciente	NEEDS
en	0
#anzoategui	LOC
se	0
solicita	NEEDS
bromazepam	MED
o	0
diazepam	MED
de	0
6	0
mg	MED
#	0
10mar	0
#serviciopublico	0
por	0
favor	0
ayudeme	NEEDS
a	0
conseguir	NEEDS
sinogan	MED
de	0
100	0
mg	MED
0416 6382957	CONTACT
-	0
@menchitor	0
#	0
10mar	0
#serviciopúblico	0
se	0
requiere	NEEDS
para	0
niño	0
de	0
5	0
años	0
fulgran	MED
pediátrico	0
o	0
amoxicilina	MED
pediátrica	0
.	0
llamar	0
al	0
0414-4961911	CONTACT
-	0
@qpasocarabobo	0
#	0
10mar	0
#serviciopúblico	0
se	0
solicita	NEEDS
el	0
siguiente	0
medicamento	0
para	0
niña	0
de	0
3	0
años	0
#	0
10mayo	0
#rt	0
🇻🇪	0
#medicina	0
#primerosauxilios	0
#serviciopublico	0
#sosvzla	0
#ayudahumanitaria	0
#evento	0
#asiste	0
#apoya	0
...	0
#	0
10mayo	0
#serviciopublico	0
oriana	NAME
